Quién te dio vela en este entierro ; Quién te invitó, por qué te metés  
A la bartola;Forma descuidada, despreocupada o negligente, especialmente en relación al trabajo o a la actividad que se esté realizando
A toda vela;A toda velocidad, a toda máquina
Amaso los versos de mi vida y mi muerte ;Metáfora sobre su proceso creativo
Así gestiono mi fastidio;De esta manera evito el fastidio que me proboca algo
Aún no me curo de…;Todavía no me recupero de una decepción, desencanto, sorpresa
Besando el travesaño;Pasándole cerca
Cantar para el carnero;Morir
Dar el golpe ;Causar impresión
Es un partido que no quiero ganar;
Estar al tanto ; Estar informado
Estar en carrera; Estar bien encaminado
Estar en la cresta ; Estar en la cima
Estar en la nuestra ; Estar en nuestro ambiente
Estar en tema ; Estar al dí­a, informado
Hacer buena figura ; Quedar bien
Hacer buenas migas;Hacer amistad
Hacer época ; Ser memorable
Hacer número ; Llamar la atención innecesariamente
Hacerse el vivo ; Pretender ser inteligente
Heterogénea lengua vernácula ; Su ideal lingüistico para Argentina
huérfano por su propia acción;parricida
Idioma propio, libre del españolismo ; Su ideal lingüístico
Intimó conmigo la luz de Buenos Aires ; Expresión poética sobre su relación con la ciudad
Jerga artificiosa ; Crítica al lunfardo puro
Lengua familiar de Buenos Aires ; El habla cotidiana porteña
Lengua nacional aluvial ; Idioma formado por aportes diversos
Me sobreadapté;Me acostumbre
No decir ni pío;ni hablar
No es al cuete;no es en vano
No es gauchesco ni arrabalero ; Definición de su propio estilo
No quieren salir del vestuario;se avergüenzan
Palabras pasan de un círculo a otro ; Migración del vocabulario entre clases sociales
Quisieran hacer trampa pero no les sale;Son tontos
Se le dio la loca;Se le ocurrió algo ridículo
Ser de ambiente ; Conocer el medio
Ser de los nuestros ; Pertenecer al cí­rculo social
Ser un galán ; Ser atractivo (irónico)
Ser un personaje ; Ser excéntrico
Ser una loca ; Ser una mujer extravagante
si mal no recuerdo;si no me equivoco
Simpatía vital que el campo despierta ; Conexión entre lo urbano y lo rural
Simulación del lunfardo ; Desprecio por el arrabalero artificial
sin comerla ni beberla;Sin merecerlo
Tantear los territorios de la lengua ; Explorar el idioma
Tener estilo ; Tener clase, distinción
tener la vela;aguantar, tener paciencia
Tener llegada ; Tener influencia
Tener mundo ; Tener experiencia social
Tener onda ; Tener simpatí­a, carisma
Tener roce ; Tener trato social
Una ducha de atención;Inesperada atención a cierta cosa
Una gota de suerte;forma más poética de decir un poco de suerte
Busqué con quién indignarme que no sea yo;
Conversación (diálogo, enfrentamiento, cruce) Lisérgico;Conversación de locos
Charla de mamados;Charla sin sentido
